ano,componente,natureza_contabil,valor_reais_dez_2025,pib_reais_dez_2025,participacao_pib_pct,composicao_pct,total_calculado_reais_dez_2025,total_reportado_reais_dez_2025
1996,Custódia e reintegração social,Gasto público,1361858941.6,4663845562114.107,0.029200343867790364,94.17966067378289,1446022349.0475,1446022349.0475
1996,Auxílio-reclusão (transferência),Transferência previdenciária,84163407.44749999,4663845562114.107,0.0018045925047601482,5.820339326217104,1446022349.0475,1446022349.0475
1997,Custódia e reintegração social,Gasto público,1473110702.04,4934975640784.241,0.029850414860526055,90.94523870665957,1619777706.8808,1619777706.8808
1997,Auxílio-reclusão (transferência),Transferência previdenciária,146667004.8408,4934975640784.241,0.002971990451760212,9.054761293340436,1619777706.8808,1619777706.8808
1998,Custódia e reintegração social,Gasto público,1535180121.59,5105791358580.626,0.030067427628236835,92.14487687466662,1666050434.5544,1666050434.5544
1998,Auxílio-reclusão (transferência),Transferência previdenciária,130870312.96440001,5105791358580.626,0.0025631739288457926,7.8551231253333835,1666050434.5544,1666050434.5544
1999,Custódia e reintegração social,Gasto público,1498406902.69,5099605604048.777,0.029382799750246488,95.42788597217985,1570198152.69389,1570198152.69389
1999,Auxílio-reclusão (transferência),Transferência previdenciária,71791250.00389,5099605604048.777,0.0014077804359398322,4.572114027820136,1570198152.69389,1570198152.69389
2000,Custódia e reintegração social,Gasto público,1692015772.3,5304346972234.874,0.03189866313717229,95.53794192733363,1771040633.8739753,1771040633.8739753
2000,Auxílio-reclusão (transferência),Transferência previdenciária,79024861.5739752,5304346972234.874,0.0014898132039179131,4.462058072666361,1771040633.8739753,1771040633.8739753
2001,Custódia e reintegração social,Gasto público,1735592923.59,5408859154773.726,0.03208796668440162,93.64239658032466,1853426425.3918808,1853426425.3918808
2001,Auxílio-reclusão (transferência),Transferência previdenciária,117833501.8018808,5408859154773.726,0.002178527826850212,6.35760341967535,1853426425.3918808,1853426425.3918808
2002,Custódia e reintegração social,Gasto público,1859224020.97,5517031684759.986,0.0336997162098206,93.36241697796214,1991405194.0288382,1991405194.0288382
2002,Auxílio-reclusão (transferência),Transferência previdenciária,132181173.05883801,5517031684759.986,0.0023958748220346397,6.637583022037847,1991405194.0288382,1991405194.0288382
2003,Custódia e reintegração social,Gasto público,2006052055.66,5734429605229.452,0.034982591011852374,92.00913045773986,2180274985.406353,2180274985.406353
2003,Auxílio-reclusão (transferência),Transferência previdenciária,174222929.7463528,5734429605229.452,0.0030381910972884217,7.990869542260132,2180274985.406353,2180274985.406353
2004,Custódia e reintegração social,Gasto público,2141332451.7,6093807429961.039,0.035139483423316686,90.8529325589152,2356921666.024831,2356921666.024831
2004,Auxílio-reclusão (transferência),Transferência previdenciária,215589214.3248308,6093807429961.039,0.0035378409443143364,9.147067441084804,2356921666.024831,2356921666.024831
2005,Custódia e reintegração social,Gasto público,2613269619.68,6360874228064.656,0.041083497739195306,90.7373231956752,2880038255.089892,2880038255.089892
2005,Auxílio-reclusão (transferência),Transferência previdenciária,266768635.409892,6360874228064.656,0.004193898917744493,9.262676804324796,2880038255.089892,2880038255.089892
2006,Custódia e reintegração social,Gasto público,2795232723.15,6853973049993.364,0.040782662884160395,90.05894613921318,3103781293.2311325,3103781293.2311325
2006,Auxílio-reclusão (transferência),Transferência previdenciária,308548570.08113253,6853973049993.364,0.004501747640829012,9.941053860786818,3103781293.2311325,3103781293.2311325
2007,Custódia e reintegração social,Gasto público,2549729966.93,7427091462321.764,0.03433012747809807,88.45277886892136,2882588879.0995,2882588879.0995
2007,Auxílio-reclusão (transferência),Transferência previdenciária,332858912.1695004,7427091462321.764,0.00448168591780673,11.547221131078642,2882588879.0995,2882588879.0995
2008,Custódia e reintegração social,Gasto público,3234946050.32,7980823565565.371,0.04053398779892502,89.97127649686395,3595532014.523277,3595532014.523277
2008,Auxílio-reclusão (transferência),Transferência previdenciária,360585964.2032766,7980823565565.371,0.004518154814987847,10.02872350313604,3595532014.523277,3595532014.523277
2009,Custódia e reintegração social,Gasto público,4183391285.06,8207491755843.925,0.050970398868586474,90.70442420497324,4612113821.048465,4612113821.048465
2009,Auxílio-reclusão (transferência),Transferência previdenciária,428722535.9884646,8207491755843.925,0.005223551222981177,9.295575795026753,4612113821.048465,4612113821.048465
2010,Custódia e reintegração social,Gasto público,4956396670.67,9058287838117.457,0.054716705400035794,90.8440594001844,5455939225.300558,5455939225.300558
2010,Auxílio-reclusão (transferência),Transferência previdenciária,499542554.6305584,9058287838117.457,0.005514756911659103,9.155940599815597,5455939225.300558,5455939225.300558
2011,Custódia e reintegração social,Gasto público,3746772758.39,9566475208257.15,0.03916565586409541,86.93565619763658,4309822830.200089,4309822830.200089
2011,Auxílio-reclusão (transferência),Transferência previdenciária,563050071.8100896,9566475208257.15,0.005885658610436808,13.06434380236343,4309822830.200089,4309822830.200089
2012,Custódia e reintegração social,Gasto público,4505172062.55,9972838868422.896,0.04517441946058883,87.25555384175011,5163192328.96137,5163192328.96137
2012,Auxílio-reclusão (transferência),Transferência previdenciária,658020266.4113704,9972838868422.896,0.006598123915296243,12.74444615824989,5163192328.96137,5163192328.96137
2013,Custódia e reintegração social,Gasto público,9294623636.54,10440534674154.057,0.08902440274011252,92.5386148408216,10044048803.332487,10044048803.332487
2013,Auxílio-reclusão (transferência),Transferência previdenciária,749425166.7924868,10440534674154.057,0.007178034364923067,7.461385159178408,10044048803.332487,10044048803.332487
2014,Custódia e reintegração social,Gasto público,11425238656.93,10620309594750.904,0.10757914875265907,93.45865189103064,12224912756.34,12224912756.34
2014,Auxílio-reclusão (transferência),Transferência previdenciária,799674099.41,10620309594750.904,0.007529668436457253,6.541348108969355,12224912756.34,12224912756.34
2015,Custódia e reintegração social,Gasto público,9938433819.32,9973912529656.303,0.09964428492599257,92.95661163772967,10691475995.33,10691475995.33
