year,iso3,country,region,subregion,homicide_rate_per_100k,percentile_unweighted,is_brazil,sample_reporting_units
2016,PSE,State of Palestine,Asia,Western Asia,0.410124550508889,5.813953488372093,0,87
2016,ROU,Romania,Europe,Eastern Europe,1.54724790736617,39.53488372093023,0,87
2016,RUS,Russian Federation,Europe,Eastern Europe,10.8822499466091,79.06976744186046,0,87
2016,SGP,Singapore,Asia,South-eastern Asia,0.32270038551043,4.651162790697675,0,87
2016,SLV,El Salvador,Americas,Latin America and the Caribbean,85.0858022421141,100.0,0,87
2016,SRB,Serbia,Europe,Southern Europe,1.62782274638115,41.86046511627907,0,87
2016,SUR,Suriname,Americas,Latin America and the Caribbean,6.97567191883721,69.76744186046511,0,87
2016,SVK,Slovakia,Europe,Eastern Europe,1.10553043442371,29.069767441860463,0,87
2016,SVN,Slovenia,Europe,Southern Europe,0.485113562659451,6.976744186046512,0,87
2016,SWE,Sweden,Europe,Northern Europe,1.06819519352472,26.74418604651163,0,87
2016,SWZ,Eswatini,Africa,Sub-Saharan Africa,10.0912782213252,75.5813953488372,0,87
2016,TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,32.2193196226095,93.02325581395348,0,87
2016,TUR,Türkiye,Asia,Western Asia,3.31161155785991,53.48837209302326,0,87
2016,TZA,United Republic of Tanzania,Africa,Sub-Saharan Africa,6.38934150079073,68.6046511627907,0,87
2016,UGA,Uganda,Africa,Sub-Saharan Africa,11.5517988640576,80.23255813953489,0,87
2016,URY,Uruguay,Americas,Latin America and the Caribbean,7.90108434244779,72.09302325581395,0,87
2016,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,37.6121901108149,95.34883720930233,0,87
2016,ZAF,South Africa,Africa,Sub-Saharan Africa,33.2101800798263,94.18604651162791,0,87
2024,ALB,Albania,Europe,Southern Europe,1.75516237132466,41.86046511627907,0,87
2024,ARG,Argentina,Americas,Latin America and the Caribbean,3.94343865969129,63.95348837209303,0,87
2024,ARM,Armenia,Asia,Western Asia,2.18572583163085,48.83720930232558,0,87
2024,AUS,Australia,Oceania,Australia and New Zealand,0.943353670965352,26.74418604651163,0,87
2024,AUT,Austria,Europe,Western Europe,0.986754141324902,30.232558139534884,0,87
2024,AZE,Azerbaijan,Asia,Western Asia,1.9929227057989,45.348837209302324,0,87
2024,BGR,Bulgaria,Europe,Eastern Europe,1.16903879188868,34.883720930232556,0,87
2024,BHS,Bahamas,Americas,Latin America and the Caribbean,29.9040826548845,90.69767441860465,0,87
2024,BIH,Bosnia and Herzegovina,Europe,Southern Europe,0.979694101577845,29.069767441860463,0,87
2024,BLR,Belarus,Europe,Eastern Europe,1.53477603753068,39.53488372093023,0,87
2024,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,3.64930721567929,61.627906976744185,0,87
2024,BRA,Brazil,Americas,Latin America and the Caribbean,18.6911635044563,86.04651162790698,1,87
2024,BRB,Barbados,Americas,Latin America and the Caribbean,7.43448361315904,73.25581395348837,0,87
2024,CAN,Canada,Americas,Northern America,1.98276753585526,44.18604651162791,0,87
2024,CHE,Switzerland,Europe,Western Europe,0.504372291310641,5.813953488372093,0,87
2024,CHL,Chile,Americas,Latin America and the Caribbean,6.10682496379986,70.93023255813954,0,87
2024,COL,Colombia,Americas,Latin America and the Caribbean,24.3541040593574,88.37209302325581,0,87
2024,CRI,Costa Rica,Americas,Latin America and the Caribbean,17.1153100151855,83.72093023255815,0,87
2024,CYP,Cyprus,Asia,Western Asia,0.957091384557846,27.906976744186046,0,87
2024,CZE,Czechia,Europe,Eastern Europe,0.614762172267724,8.13953488372093,0,87
2024,DEU,Germany,Europe,Western Europe,0.921323883995885,24.41860465116279,0,87
2024,DMA,Dominica,Americas,Latin America and the Caribbean,18.1255192206027,84.88372093023256,0,87
2024,DNK,Denmark,Europe,Northern Europe,0.836482410782459,18.6046511627907,0,87
2024,DOM,Dominican Republic,Americas,Latin America and the Caribbean,9.11830936393492,76.74418604651163,0,87
2024,DZA,Algeria,Africa,Northern Africa,1.38205611607093,38.372093023255815,0,87
2024,ECU,Ecuador,Americas,Latin America and the Caribbean,38.9402484715387,91.86046511627907,0,87
2024,ESP,Spain,Europe,Southern Europe,0.728441170438818,17.441860465116278,0,87
2024,EST,Estonia,Europe,Northern Europe,1.76399768916303,43.02325581395349,0,87
2024,FJI,Fiji,Oceania,Melanesia,2.36868852176609,50.0,0,87
2024,FRA,France,Europe,Western Europe,1.32534857400044,37.2093023255814,0,87
2024,GRC,Greece,Europe,Southern Europe,0.845954939563237,20.930232558139537,0,87
2024,GUY,Guyana,Americas,Latin America and the Caribbean,14.07795698763,81.3953488372093,0,87
2024,HND,Honduras,Americas,Latin America and the Caribbean,23.9153049037414,87.20930232558139,0,87
2024,HRV,Croatia,Europe,Southern Europe,1.00636720791159,31.3953488372093,0,87
2024,HTI,Haiti,Americas,Latin America and the Caribbean,64.33606564827,100.0,0,87
2024,HUN,Hungary,Europe,Eastern Europe,0.702759970936741,13.953488372093023,0,87
2024,IRL,Ireland,Europe,Northern Europe,0.704088996849202,15.116279069767442,0,87
2024,ISL,Iceland,Europe,Northern Europe,2.03357689653288,47.674418604651166,0,87
2024,ISR,Israel,Asia,Western Asia,3.717899427305,62.7906976744186,0,87
2024,ITA,Italy,Europe,Southern Europe,0.566201157756669,6.976744186046512,0,87
2024,JAM,Jamaica,Americas,Latin America and the Caribbean,40.3638380867682,94.18604651162791,0,87
2024,JOR,Jordan,Asia,Western Asia,0.839617771367061,19.767441860465116,0,87
2024,JPN,Japan,Asia,Eastern Asia,0.22868124913391,2.3255813953488373,0,87
2024,KEN,Kenya,Africa,Sub-Saharan Africa,4.64976623716666,68.6046511627907,0,87
2024,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,59.7741391456568,98.83720930232558,0,87
2024,KOR,Republic of Korea,Asia,Eastern Asia,0.489195262192225,4.651162790697675,0,87
2024,LBN,Lebanon,Asia,Western Asia,2.63522243473368,54.651162790697676,0,87
2024,LCA,Saint Lucia,Americas,Latin America and the Caribbean,40.6134296928679,95.34883720930233,0,87
2024,LIE,Liechtenstein,Europe,Western Europe,2.50815149235014,53.48837209302326,0,87
2024,LTU,Lithuania,Europe,Northern Europe,2.65817031491798,55.81395348837209,0,87
2024,LVA,Latvia,Europe,Northern Europe,2.77796846631833,58.13953488372093,0,87
2024,MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,0.138838367149732,0.0,0,87
2024,MAR,Morocco,Africa,Northern Africa,1.66749065213931,40.69767441860465,0,87
2024,MDA,Republic of Moldova,Europe,Eastern Europe,2.00991083738981,46.51162790697674,0,87
2024,MEX,Mexico,Americas,Latin America and the Caribbean,25.6378892147758,89.53488372093024,0,87
2024,MKD,North Macedonia,Europe,Southern Europe,1.26165038132011,36.04651162790697,0,87
2024,MLT,Malta,Europe,Southern Europe,0.926600285022248,25.58139534883721,0,87
2024,MNE,Montenegro,Europe,Southern Europe,2.50595752245377,52.325581395348834,0,87
2024,MNG,Mongolia,Asia,Eastern Asia,5.6394114295908,69.76744186046511,0,87
2024,MUS,Mauritius,Africa,Sub-Saharan Africa,2.67470336359682,56.97674418604651,0,87
2024,MYS,Malaysia,Asia,South-eastern Asia,0.68620912445242,11.627906976744185,0,87
2024,NLD,Netherlands (Kingdom of the),Europe,Western Europe,0.658301068123655,9.30232558139535,0,87
2024,NOR,Norway,Europe,Northern Europe,0.699343334540747,12.790697674418604,0,87
2024,PAK,Pakistan,Asia,Southern Asia,4.32882404941659,67.44186046511628,0,87
2024,PAN,Panama,Americas,Latin America and the Caribbean,12.7779904982243,79.06976744186046,0,87
2024,PHL,Philippines,Asia,South-eastern Asia,4.31184545651845,66.27906976744185,0,87
2024,POL,Poland,Europe,Eastern Europe,0.677232514498679,10.465116279069768,0,87
2024,PRI,Puerto Rico,Americas,Latin America and the Caribbean,15.205705748312,82.55813953488372,0,87
2024,PRY,Paraguay,Americas,Latin America and the Caribbean,6.88395825579259,72.09302325581395,0,87
2024,PSE,State of Palestine,Asia,Western Asia,0.272953427048556,3.488372093023256,0,87
2024,ROU,Romania,Europe,Eastern Europe,1.12016310416234,33.72093023255814,0,87
2024,RUS,Russian Federation,Europe,Eastern Europe,7.82141065835721,74.4186046511628,0,87
2024,SGP,Singapore,Asia,South-eastern Asia,0.171456386553224,1.1627906976744187,0,87
2024,SLV,El Salvador,Americas,Latin America and the Caribbean,3.29746979935764,59.30232558139535,0,87
2024,SRB,Serbia,Europe,Southern Europe,0.890707780154318,23.25581395348837,0,87
2024,SUR,Suriname,Americas,Latin America and the Caribbean,4.25578195264733,65.11627906976744,0,87
2024,SVK,Slovakia,Europe,Eastern Europe,1.07141050921145,32.55813953488372,0,87
2024,SVN,Slovenia,Europe,Southern Europe,0.707982478849613,16.27906976744186,0,87
2024,SWE,Sweden,Europe,Northern Europe,0.867351830616747,22.093023255813954,0,87
2024,SWZ,Eswatini,Africa,Sub-Saharan Africa,13.6785531952899,80.23255813953489,0,87
2024,TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,41.5179520374802,96.51162790697674,0,87
2024,TUR,Türkiye,Asia,Western Asia,2.41215070042969,51.16279069767442,0,87
2024,TZA,United Republic of Tanzania,Africa,Sub-Saharan Africa,3.30075090113927,60.46511627906977,0,87
2024,UGA,Uganda,Africa,Sub-Saharan Africa,8.81933788286006,75.5813953488372,0,87
2024,URY,Uruguay,Americas,Latin America and the Caribbean,11.2797912352774,77.90697674418605,0,87
2024,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,50.687763377594,97.67441860465117,0,87
2024,ZAF,South Africa,Africa,Sub-Saharan Africa,39.7189774932538,93.02325581395348,0,87
