year,crime,measurement_concept,geographic_sample,reporting_ufs,population_coverage_pct,population,count,rate_per_100k,plotted_value,plot_unit
2018,Estupro,vítimas,Brasil — 27 UFs,27,100.0,206529038,28361,13.732209414542472,13.732209414542472,vítimas por 100 mil habitantes
2019,Estupro,vítimas,Brasil — 27 UFs,27,100.0,207900099,29026,13.961513313180289,13.961513313180289,vítimas por 100 mil habitantes
2020,Estupro,vítimas,Brasil — 27 UFs,27,100.0,209164889,21820,10.431961169161617,10.431961169161617,vítimas por 100 mil habitantes
2021,Estupro,vítimas,Brasil — 27 UFs,27,100.0,210103642,23729,11.293949868798562,11.293949868798562,vítimas por 100 mil habitantes
2022,Estupro,vítimas,Brasil — 27 UFs,27,100.0,210862983,23227,11.015209815181263,11.015209815181263,vítimas por 100 mil habitantes
2023,Estupro,vítimas,Brasil — 27 UFs,27,100.0,211695158,24711,11.67291695920603,11.67291695920603,vítimas por 100 mil habitantes
2024,Estupro,vítimas,Brasil — 27 UFs,27,100.0,212583750,25222,11.864500461582788,11.864500461582788,vítimas por 100 mil habitantes
2025,Estupro,vítimas,Brasil — 27 UFs,27,100.0,213421037,19877,9.31351486217359,9.31351486217359,vítimas por 100 mil habitantes
2016,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,203871925,26003,12.754576187967029,12.754576187967029,vítimas por 100 mil habitantes
2017,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,205211557,36002,17.543846226945202,17.543846226945202,vítimas por 100 mil habitantes
2018,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,206529038,44455,21.524818219508678,21.524818219508678,vítimas por 100 mil habitantes
2019,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,207900099,48524,23.34005622575485,23.34005622575485,vítimas por 100 mil habitantes
2020,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,209164889,45306,21.66042313153237,21.66042313153237,vítimas por 100 mil habitantes
2021,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,210103642,48853,23.251857766463658,23.251857766463658,vítimas por 100 mil habitantes
2022,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,210862983,57288,27.168353204981454,27.168353204981454,vítimas por 100 mil habitantes
2023,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,211695158,63709,30.09468927012492,30.09468927012492,vítimas por 100 mil habitantes
2024,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,212583750,63919,30.067679208782423,30.067679208782423,vítimas por 100 mil habitantes
2025,Estupro de vulnerável,vítimas,Brasil — 27 UFs,27,100.0,213421037,63612,29.805871480232756,29.805871480232756,vítimas por 100 mil habitantes
2016,Feminicídio,vítimas,Brasil — 27 UFs,27,100.0,203871925,809,0.3968177570305475,0.3968177570305475,vítimas por 100 mil habitantes
2017,Feminicídio,vítimas,Brasil — 27 UFs,27,100.0,205211557,1048,0.5106924850241256,0.5106924850241256,vítimas por 100 mil habitantes
2018,Feminicídio,vítimas,Brasil — 27 UFs,27,100.0,206529038,1176,0.5694114548676685,0.5694114548676685,vítimas por 100 mil habitantes
2019,Feminicídio,vítimas,Brasil — 27 UFs,27,100.0,207900099,1331,0.6402113353490996,0.6402113353490996,vítimas por 100 mil habitantes
2020,Feminicídio,vítimas,Brasil — 27 UFs,27,100.0,209164889,1346,0.6435114451737644,0.6435114451737644,vítimas por 100 mil habitantes
2021,Feminicídio,vítimas,Brasil — 27 UFs,27,100.0,210103642,1366,0.6501553171553304,0.6501553171553304,vítimas por 100 mil habitantes
2022,Feminicídio,vítimas,Brasil — 27 UFs,27,100.0,210862983,1456,0.6904957803807603,0.6904957803807603,vítimas por 100 mil habitantes
2023,Feminicídio,vítimas,Brasil — 27 UFs,27,100.0,211695158,1478,0.6981737390516981,0.6981737390516981,vítimas por 100 mil habitantes
2024,Feminicídio,vítimas,Brasil — 27 UFs,27,100.0,212583750,1501,0.7060746646909747,0.7060746646909747,vítimas por 100 mil habitantes
2025,Feminicídio,vítimas,Brasil — 27 UFs,27,100.0,213421037,1562,0.731886613408218,0.731886613408218,vítimas por 100 mil habitantes
