ano,uf,pib_estadual_reais_dez_2025,populacao,pib_per_capita_reais_dez_2025,custo_total_reais_dez_2025,custo_total_pib_pct,componente,valor_reais_dez_2025,participacao_pib_pct,composicao_total_pct,status_ano
2025,AC,30511673344.59,955012.0,31948.994719008766,2756383461.154197,9.033865268628178,Medical and therapeutic services,103649.69210999999,0.00033970503990197586,0.00376035096606617,Preliminary: state productive losses and the incarceration concept are under review
2025,AC,30511673344.59,955012.0,31948.994719008766,2756383461.154197,9.033865268628178,Incarceration and incarceration benefit,273433249.039338,0.8961594664155652,9.920000351650696,Preliminary: state productive losses and the incarceration concept are under review
2025,AC,30511673344.59,955012.0,31948.994719008766,2756383461.154197,9.033865268628178,Judicial costs,445840161.99,1.4612117695244387,16.174823578549212,Preliminary: state productive losses and the incarceration concept are under review
2025,AC,30511673344.59,955012.0,31948.994719008766,2756383461.154197,9.033865268628178,Productive-capacity losses,113183814.4,0.3709524978251268,4.106243416240999,Preliminary: state productive losses and the incarceration concept are under review
2025,AC,30511673344.59,955012.0,31948.994719008766,2756383461.154197,9.033865268628178,Insurance and material losses,369841458.786749,1.2121310247716233,13.417634519976517,Preliminary: state productive losses and the incarceration concept are under review
2025,AC,30511673344.59,955012.0,31948.994719008766,2756383461.154197,9.033865268628178,Private security,239344914.536,0.7844371950135539,8.68329526385192,Preliminary: state productive losses and the incarceration concept are under review
2025,AC,30511673344.59,955012.0,31948.994719008766,2756383461.154197,9.033865268628178,Public security,1314636212.71,4.308633610037966,47.69424251876458,Preliminary: state productive losses and the incarceration concept are under review
2025,AL,104086034879.9,3415514.0,30474.486381815444,5978780923.852403,5.744075975947243,Medical and therapeutic services,2097332.2528,0.0020149987029672266,0.03507959698661433,Preliminary: state productive losses and the incarceration concept are under review
2025,AL,104086034879.9,3415514.0,30474.486381815444,5978780923.852403,5.744075975947243,Incarceration and incarceration benefit,617326527.610914,0.5930925587887157,10.32529098278353,Preliminary: state productive losses and the incarceration concept are under review
2025,AL,104086034879.9,3415514.0,30474.486381815444,5978780923.852403,5.744075975947243,Judicial costs,687837109.03,0.6608351541334657,11.504638115871872,Preliminary: state productive losses and the incarceration concept are under review
2025,AL,104086034879.9,3415514.0,30474.486381815444,5978780923.852403,5.744075975947243,Productive-capacity losses,571105027.0,0.5486855442797599,9.552198588203343,Preliminary: state productive losses and the incarceration concept are under review
2025,AL,104086034879.9,3415514.0,30474.486381815444,5978780923.852403,5.744075975947243,Insurance and material losses,977226441.714689,0.9388641260494407,16.344911348332484,Preliminary: state productive losses and the incarceration concept are under review
2025,AL,104086034879.9,3415514.0,30474.486381815444,5978780923.852403,5.744075975947243,Private security,537319170.944,0.5162259966613075,8.987102517845404,Preliminary: state productive losses and the incarceration concept are under review
2025,AL,104086034879.9,3415514.0,30474.486381815444,5978780923.852403,5.744075975947243,Public security,2585869315.2999997,2.4843575973315857,43.250778849976754,Preliminary: state productive losses and the incarceration concept are under review
2025,AM,187766731088.94,4510151.0,41632.02763919434,8290465930.334393,4.415300773600529,Medical and therapeutic services,1440799.8195,0.0007673349858860419,0.017378996929812915,Preliminary: state productive losses and the incarceration concept are under review
2025,AM,187766731088.94,4510151.0,41632.02763919434,8290465930.334393,4.415300773600529,Incarceration and incarceration benefit,465824539.733892,0.2480868346763962,5.618798070557938,Preliminary: state productive losses and the incarceration concept are under review
2025,AM,187766731088.94,4510151.0,41632.02763919434,8290465930.334393,4.415300773600529,Judicial costs,1056997752.0,0.5629313275413678,12.74955787626482,Preliminary: state productive losses and the incarceration concept are under review
