year,microrregion_code,microrregion_name,uf,macroregion,homicide_count,population,homicide_rate_per_100k,percentile_unweighted,bubble_area_points2
2024,41001,Paranavaí,PR,Sul,52,288715.0,18.010841140917513,49.6415770609319,38.495333333333335
2024,33009,Bacia de São João,RJ,Sudeste,43,238688.0,18.01514948384502,49.82078853046595,31.825066666666668
2024,41011,Londrina,PR,Sul,150,830082.0,18.070503877930133,50.0,110.6776
2024,50004,Campo Grande,MS,Centro-Oeste,191,1052984.0,18.1389270872112,50.17921146953405,140.39786666666666
2024,25009,Seridó Oriental Paraibano,PB,Nordeste,14,77073.0,18.164597200057088,50.3584229390681,10.2764
2024,43027,Osório,RS,Sul,79,434330.0,18.188934681002923,50.53763440860215,57.910666666666664
2024,26003,Pajeú,PE,Nordeste,63,344414.0,18.291939352058858,50.7168458781362,45.921866666666666
2024,21002,Aglomeração Urbana de São Luís,MA,Nordeste,280,1529831.0,18.302675262823147,50.89605734767025,203.97746666666666
2024,28008,Cotinguiba,SE,Nordeste,9,49171.0,18.30347155843892,51.075268817204304,6.556133333333333
2024,51017,Cuiabá,MT,Centro-Oeste,192,1045386.0,18.366421589728578,51.25448028673835,139.3848
2024,23007,Santa Quitéria,CE,Nordeste,13,70689.0,18.390414350181782,51.4336917562724,9.4252
2024,21013,Baixo Parnaíba Maranhense,MA,Nordeste,24,129878.0,18.4788801798611,51.61290322580645,17.317066666666665
2024,31029,Pará de Minas,MG,Sudeste,27,145857.0,18.511281597729283,51.7921146953405,19.4476
2024,24018,Natal,RN,Nordeste,208,1121659.0,18.543960330189478,51.971326164874554,149.55453333333332
2024,52006,Ceres,GO,Centro-Oeste,48,258632.0,18.55918834482972,52.1505376344086,34.48426666666667
2024,12005,Brasiléia,AC,Norte,14,75243.0,18.606381989022236,52.32974910394265,10.0324
2024,32010,Guarapari,ES,Sudeste,43,229855.0,18.707445998564314,52.5089605734767,30.647333333333332
2024,29014,Euclides da Cunha,BA,Nordeste,60,320307.0,18.73202895971677,52.68817204301075,42.7076
2024,23017,Pacajus,CE,Nordeste,29,154759.0,18.7388132515718,52.867383512544805,20.634533333333334
2024,29006,Barra,BA,Nordeste,34,180100.0,18.878400888395337,53.04659498207885,24.013333333333332
2024,17006,Porto Nacional,TO,Norte,84,442757.0,18.972032062734186,53.225806451612904,59.03426666666667
2024,52013,Sudoeste de Goiás,GO,Centro-Oeste,107,560421.0,19.09278917099823,53.40501792114696,74.7228
2024,52016,Pires do Rio,GO,Centro-Oeste,21,109548.0,19.16967904480228,53.584229390681,14.6064
2024,33018,Rio de Janeiro,RJ,Sudeste,2363,12270323.0,19.25784675757924,53.763440860215056,1636.0430666666666
2024,51021,Rondonópolis,MT,Centro-Oeste,67,346530.0,19.33454534960898,53.9426523297491,46.204
2024,43035,Litoral Lagunar,RS,Sul,51,263569.0,19.349771786515106,54.121863799283155,35.14253333333333
2024,17002,Araguaína,TO,Norte,60,308359.0,19.45783972577418,54.30107526881721,41.114533333333334
2024,43003,Frederico Westphalen,RS,Sul,36,183477.0,19.62098791674161,54.48028673835125,24.4636
2024,25018,Itabaiana,PB,Nordeste,22,111764.0,19.684334848430623,54.659498207885306,14.901866666666667
2024,43031,Campanha Meridional,RS,Sul,35,177643.0,19.70243690998238,54.83870967741935,23.685733333333335
2024,24015,Agreste Potiguar,RN,Nordeste,48,243226.0,19.734732306579065,55.017921146953405,32.43013333333333
2024,14001,Boa Vista,RR,Norte,105,530905.0,19.777549655776458,55.19713261648746,70.78733333333334
2024,13002,Japurá,AM,Norte,5,25240.0,19.80982567353407,55.376344086021504,3.3653333333333335
2024,41005,Campo Mourão,PR,Sul,46,231688.0,19.854286799488968,55.55555555555556,30.891733333333335
2024,31006,Pirapora,MG,Sudeste,32,160601.0,19.92515613227813,55.7347670250896,21.413466666666668
2024,33014,Vassouras,RJ,Sudeste,34,169725.0,20.032405361614376,55.913978494623656,22.63
2024,50001,Baixo Pantanal,MS,Centro-Oeste,27,134261.0,20.110084089944213,56.09318996415771,17.901466666666668
2024,41022,Toledo,PR,Sul,92,456636.0,20.147338361408213,56.272401433691755,60.8848
2024,28007,Propriá,SE,Nordeste,18,89192.0,20.181182168804376,56.45161290322581,11.892266666666666
