uf,year,population,source,status
BA,2025,14870907,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
CE,2025,9268836,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
DF,2025,2996899,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
ES,2025,4126854,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
GO,2025,7423629,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MA,2025,7018211,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MG,2025,21393441,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MS,2025,2924631,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
MT,2025,3893659,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PA,2025,8711196,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PB,2025,4164468,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PE,2025,9562007,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PI,2025,3384547,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
PR,2025,11890584,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RJ,2025,17223547,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RN,2025,3455236,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RO,2025,1751950,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RR,2025,738772,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
RS,2025,11233263,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SC,2025,8186962,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SE,2025,2299425,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
SP,2025,46081801,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
TO,2025,1586859,"IBGE Projeções da População, Revisão 2024, população em 1º de julho",estimativa/projeção revisada
