iso3,country,region,subregion,year,homicide_rate_per_100k,percentile_unweighted,included_common_sample,inclusion_reason
FJI,Fiji,Oceania,Melanesia,2016,1.63191414826049,43.02325581395349,1,INCLUDED_OBSERVED_BOTH_YEARS
FRA,France,Europe,Western Europe,2016,1.19686224509648,32.55813953488372,1,INCLUDED_OBSERVED_BOTH_YEARS
FSM,Micronesia (Federated States of),Oceania,Micronesia,2016,,,0,MISSING_2016_AND_2024
GEO,Georgia,Asia,Western Asia,2016,1.02846555312855,,0,MISSING_2024
GHA,Ghana,Africa,Sub-Saharan Africa,2016,1.87009855981462,,0,MISSING_2024
GIB,Gibraltar,Europe,Southern Europe,2016,,,0,MISSING_2016
GLP,Guadeloupe,Americas,Latin America and the Caribbean,2016,5.68415615612647,,0,MISSING_2024
GNB,Guinea-Bissau,Africa,Sub-Saharan Africa,2016,3.49365287883821,,0,MISSING_2024
GRC,Greece,Europe,Southern Europe,2016,0.779545903374914,19.767441860465116,1,INCLUDED_OBSERVED_BOTH_YEARS
GRD,Grenada,Americas,Latin America and the Caribbean,2016,9.55441674628681,,0,MISSING_2024
GRL,Greenland,Americas,Northern America,2016,5.35131374752502,,0,MISSING_2024
GTM,Guatemala,Americas,Latin America and the Caribbean,2016,,,0,MISSING_2016
GUF,French Guiana,Americas,Latin America and the Caribbean,2016,,,0,MISSING_2016_AND_2024
GUM,Guam,Oceania,Micronesia,2016,,,0,MISSING_2016_AND_2024
GUY,Guyana,Americas,Latin America and the Caribbean,2016,18.5973900789472,84.88372093023256,1,INCLUDED_OBSERVED_BOTH_YEARS
HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,2016,0.377969277712184,,0,MISSING_2024
HND,Honduras,Americas,Latin America and the Caribbean,2016,54.7151729955654,97.67441860465117,1,INCLUDED_OBSERVED_BOTH_YEARS
HRV,Croatia,Europe,Southern Europe,2016,1.06371572584033,25.58139534883721,1,INCLUDED_OBSERVED_BOTH_YEARS
HTI,Haiti,Americas,Latin America and the Caribbean,2016,9.63317380185292,73.25581395348837,1,INCLUDED_OBSERVED_BOTH_YEARS
HUN,Hungary,Europe,Eastern Europe,2016,2.05901168254688,47.674418604651166,1,INCLUDED_OBSERVED_BOTH_YEARS
IDN,Indonesia,Asia,South-eastern Asia,2016,,,0,MISSING_2016
IMN,Isle of Man,Europe,Northern Europe,2016,0.0,,0,MISSING_2024
IND,India,Asia,Southern Asia,2016,3.14894003612781,,0,MISSING_2024
IRL,Ireland,Europe,Northern Europe,2016,0.694224869533058,18.6046511627907,1,INCLUDED_OBSERVED_BOTH_YEARS
IRN,Iran (Islamic Republic of),Asia,Southern Asia,2016,,,0,MISSING_2016_AND_2024
IRQ,Iraq,Asia,Western Asia,2016,,,0,MISSING_2016_AND_2024
ISL,Iceland,Europe,Northern Europe,2016,0.297997309084299,3.488372093023256,1,INCLUDED_OBSERVED_BOTH_YEARS
ISR,Israel,Asia,Western Asia,2016,1.33982857867757,36.04651162790697,1,INCLUDED_OBSERVED_BOTH_YEARS
ITA,Italy,Europe,Southern Europe,2016,0.668010320924807,15.116279069767442,1,INCLUDED_OBSERVED_BOTH_YEARS
JAM,Jamaica,Americas,Latin America and the Caribbean,2016,48.1865109798695,96.51162790697674,1,INCLUDED_OBSERVED_BOTH_YEARS
JOR,Jordan,Asia,Western Asia,2016,1.4790583574967,38.372093023255815,1,INCLUDED_OBSERVED_BOTH_YEARS
JPN,Japan,Asia,Eastern Asia,2016,0.284680826905949,2.3255813953488373,1,INCLUDED_OBSERVED_BOTH_YEARS
KAZ,Kazakhstan,Asia,Central Asia,2016,,,0,MISSING_2016_AND_2024
KEN,Kenya,Africa,Sub-Saharan Africa,2016,4.90863183219284,60.46511627906977,1,INCLUDED_OBSERVED_BOTH_YEARS
KHM,Cambodia,Asia,South-eastern Asia,2016,,,0,MISSING_2016_AND_2024
KIR,Kiribati,Oceania,Micronesia,2016,,,0,MISSING_2016_AND_2024
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,2016,63.728770353376,98.83720930232558,1,INCLUDED_OBSERVED_BOTH_YEARS
KOR,Republic of Korea,Asia,Eastern Asia,2016,0.693986349015599,17.441860465116278,1,INCLUDED_OBSERVED_BOTH_YEARS
KWT,Kuwait,Asia,Western Asia,2016,,,0,MISSING_2016_AND_2024
LBN,Lebanon,Asia,Western Asia,2016,3.7165552530385,56.97674418604651,1,INCLUDED_OBSERVED_BOTH_YEARS
LBR,Liberia,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016_AND_2024
LCA,Saint Lucia,Americas,Latin America and the Caribbean,2016,17.079808250686,83.72093023255815,1,INCLUDED_OBSERVED_BOTH_YEARS
LIE,Liechtenstein,Europe,Western Europe,2016,0.0,0.0,1,INCLUDED_OBSERVED_BOTH_YEARS
LKA,Sri Lanka,Asia,Southern Asia,2016,2.41890147871327,,0,MISSING_2024
LSO,Lesotho,Africa,Sub-Saharan Africa,2016,,,0,MISSING_2016
LTU,Lithuania,Europe,Northern Europe,2016,5.33266506558917,61.627906976744185,1,INCLUDED_OBSERVED_BOTH_YEARS
LUX,Luxembourg,Europe,Western Europe,2016,0.856889217934349,,0,MISSING_2024
LVA,Latvia,Europe,Northern Europe,2016,3.52065424981236,55.81395348837209,1,INCLUDED_OBSERVED_BOTH_YEARS
MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,2016,0.157651248637302,1.1627906976744187,1,INCLUDED_OBSERVED_BOTH_YEARS
MAF,Saint Martin (French Part),Americas,Latin America and the Caribbean,2016,26.8997982515131,,0,MISSING_2024
MAR,Morocco,Africa,Northern Africa,2016,1.69600616957935,45.348837209302324,1,INCLUDED_OBSERVED_BOTH_YEARS
MCO,Monaco,Europe,Western Europe,2016,,,0,MISSING_2016_AND_2024
MDA,Republic of Moldova,Europe,Eastern Europe,2016,6.17704523511996,67.44186046511628,1,INCLUDED_OBSERVED_BOTH_YEARS
MDV,Maldives,Asia,Southern Asia,2016,,,0,MISSING_2016_AND_2024
MEX,Mexico,Americas,Latin America and the Caribbean,2016,20.0889396309777,86.04651162790698,1,INCLUDED_OBSERVED_BOTH_YEARS
MKD,North Macedonia,Europe,Southern Europe,2016,0.968765224591646,22.093023255813954,1,INCLUDED_OBSERVED_BOTH_YEARS
