iso3,country,region,subregion,year,homicide_rate_per_100k,percentile_unweighted,included_common_sample,inclusion_reason
ERI,Eritrea,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
ESP,Spain,Europe,Southern Europe,2024,0.728441170438818,17.441860465116278,1,INCLUDED_OBSERVED_BOTH_YEARS
EST,Estonia,Europe,Northern Europe,2024,1.76399768916303,43.02325581395349,1,INCLUDED_OBSERVED_BOTH_YEARS
ETH,Ethiopia,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
FIN,Finland,Europe,Northern Europe,2024,,,0,MISSING_2024
FJI,Fiji,Oceania,Melanesia,2024,2.36868852176609,50.0,1,INCLUDED_OBSERVED_BOTH_YEARS
FRA,France,Europe,Western Europe,2024,1.32534857400044,37.2093023255814,1,INCLUDED_OBSERVED_BOTH_YEARS
FSM,Micronesia (Federated States of),Oceania,Micronesia,2024,,,0,MISSING_2016_AND_2024
GEO,Georgia,Asia,Western Asia,2024,,,0,MISSING_2024
GHA,Ghana,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2024
GIB,Gibraltar,Europe,Southern Europe,2024,0.0,,0,MISSING_2016
GLP,Guadeloupe,Americas,Latin America and the Caribbean,2024,,,0,MISSING_2024
GNB,Guinea-Bissau,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2024
GRC,Greece,Europe,Southern Europe,2024,0.845954939563237,20.930232558139537,1,INCLUDED_OBSERVED_BOTH_YEARS
GRD,Grenada,Americas,Latin America and the Caribbean,2024,,,0,MISSING_2024
GRL,Greenland,Americas,Northern America,2024,,,0,MISSING_2024
GTM,Guatemala,Americas,Latin America and the Caribbean,2024,22.7584390807546,,0,MISSING_2016
GUF,French Guiana,Americas,Latin America and the Caribbean,2024,,,0,MISSING_2016_AND_2024
GUM,Guam,Oceania,Micronesia,2024,,,0,MISSING_2016_AND_2024
GUY,Guyana,Americas,Latin America and the Caribbean,2024,14.07795698763,81.3953488372093,1,INCLUDED_OBSERVED_BOTH_YEARS
HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,2024,,,0,MISSING_2024
HND,Honduras,Americas,Latin America and the Caribbean,2024,23.9153049037414,87.20930232558139,1,INCLUDED_OBSERVED_BOTH_YEARS
HRV,Croatia,Europe,Southern Europe,2024,1.00636720791159,31.3953488372093,1,INCLUDED_OBSERVED_BOTH_YEARS
HTI,Haiti,Americas,Latin America and the Caribbean,2024,64.33606564827,100.0,1,INCLUDED_OBSERVED_BOTH_YEARS
HUN,Hungary,Europe,Eastern Europe,2024,0.702759970936741,13.953488372093023,1,INCLUDED_OBSERVED_BOTH_YEARS
IDN,Indonesia,Asia,South-eastern Asia,2024,0.414832475557544,,0,MISSING_2016
IMN,Isle of Man,Europe,Northern Europe,2024,,,0,MISSING_2024
IND,India,Asia,Southern Asia,2024,,,0,MISSING_2024
IRL,Ireland,Europe,Northern Europe,2024,0.704088996849202,15.116279069767442,1,INCLUDED_OBSERVED_BOTH_YEARS
IRN,Iran (Islamic Republic of),Asia,Southern Asia,2024,,,0,MISSING_2016_AND_2024
IRQ,Iraq,Asia,Western Asia,2024,,,0,MISSING_2016_AND_2024
ISL,Iceland,Europe,Northern Europe,2024,2.03357689653288,47.674418604651166,1,INCLUDED_OBSERVED_BOTH_YEARS
ISR,Israel,Asia,Western Asia,2024,3.717899427305,62.7906976744186,1,INCLUDED_OBSERVED_BOTH_YEARS
ITA,Italy,Europe,Southern Europe,2024,0.566201157756669,6.976744186046512,1,INCLUDED_OBSERVED_BOTH_YEARS
JAM,Jamaica,Americas,Latin America and the Caribbean,2024,40.3638380867682,94.18604651162791,1,INCLUDED_OBSERVED_BOTH_YEARS
JOR,Jordan,Asia,Western Asia,2024,0.839617771367061,19.767441860465116,1,INCLUDED_OBSERVED_BOTH_YEARS
JPN,Japan,Asia,Eastern Asia,2024,0.22868124913391,2.3255813953488373,1,INCLUDED_OBSERVED_BOTH_YEARS
KAZ,Kazakhstan,Asia,Central Asia,2024,,,0,MISSING_2016_AND_2024
KEN,Kenya,Africa,Sub-Saharan Africa,2024,4.64976623716666,68.6046511627907,1,INCLUDED_OBSERVED_BOTH_YEARS
KHM,Cambodia,Asia,South-eastern Asia,2024,,,0,MISSING_2016_AND_2024
KIR,Kiribati,Oceania,Micronesia,2024,,,0,MISSING_2016_AND_2024
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,2024,59.7741391456568,98.83720930232558,1,INCLUDED_OBSERVED_BOTH_YEARS
KOR,Republic of Korea,Asia,Eastern Asia,2024,0.489195262192225,4.651162790697675,1,INCLUDED_OBSERVED_BOTH_YEARS
KWT,Kuwait,Asia,Western Asia,2024,,,0,MISSING_2016_AND_2024
LBN,Lebanon,Asia,Western Asia,2024,2.63522243473368,54.651162790697676,1,INCLUDED_OBSERVED_BOTH_YEARS
LBR,Liberia,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
LCA,Saint Lucia,Americas,Latin America and the Caribbean,2024,40.6134296928679,95.34883720930233,1,INCLUDED_OBSERVED_BOTH_YEARS
LIE,Liechtenstein,Europe,Western Europe,2024,2.50815149235014,53.48837209302326,1,INCLUDED_OBSERVED_BOTH_YEARS
LKA,Sri Lanka,Asia,Southern Asia,2024,,,0,MISSING_2024
LSO,Lesotho,Africa,Sub-Saharan Africa,2024,22.2039447297183,,0,MISSING_2016
LTU,Lithuania,Europe,Northern Europe,2024,2.65817031491798,55.81395348837209,1,INCLUDED_OBSERVED_BOTH_YEARS
LUX,Luxembourg,Europe,Western Europe,2024,,,0,MISSING_2024
LVA,Latvia,Europe,Northern Europe,2024,2.77796846631833,58.13953488372093,1,INCLUDED_OBSERVED_BOTH_YEARS
MAC,"China, Macao Special Administrative Region",Asia,Eastern Asia,2024,0.138838367149732,0.0,1,INCLUDED_OBSERVED_BOTH_YEARS
MAF,Saint Martin (French Part),Americas,Latin America and the Caribbean,2024,,,0,MISSING_2024
MAR,Morocco,Africa,Northern Africa,2024,1.66749065213931,40.69767441860465,1,INCLUDED_OBSERVED_BOTH_YEARS
MCO,Monaco,Europe,Western Europe,2024,,,0,MISSING_2016_AND_2024
MDA,Republic of Moldova,Europe,Eastern Europe,2024,2.00991083738981,46.51162790697674,1,INCLUDED_OBSERVED_BOTH_YEARS
MDV,Maldives,Asia,Southern Asia,2024,,,0,MISSING_2016_AND_2024
MEX,Mexico,Americas,Latin America and the Caribbean,2024,25.6378892147758,89.53488372093024,1,INCLUDED_OBSERVED_BOTH_YEARS
MKD,North Macedonia,Europe,Southern Europe,2024,1.26165038132011,36.04651162790697,1,INCLUDED_OBSERVED_BOTH_YEARS
MLT,Malta,Europe,Southern Europe,2024,0.926600285022248,25.58139534883721,1,INCLUDED_OBSERVED_BOTH_YEARS
MMR,Myanmar,Asia,South-eastern Asia,2024,,,0,MISSING_2024
MNE,Montenegro,Europe,Southern Europe,2024,2.50595752245377,52.325581395348834,1,INCLUDED_OBSERVED_BOTH_YEARS
MNG,Mongolia,Asia,Eastern Asia,2024,5.6394114295908,69.76744186046511,1,INCLUDED_OBSERVED_BOTH_YEARS
MOZ,Mozambique,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
MRT,Mauritania,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
MSR,Montserrat,Americas,Latin America and the Caribbean,2024,,,0,MISSING_2016_AND_2024
MTQ,Martinique,Americas,Latin America and the Caribbean,2024,,,0,MISSING_2016_AND_2024
MUS,Mauritius,Africa,Sub-Saharan Africa,2024,2.67470336359682,56.97674418604651,1,INCLUDED_OBSERVED_BOTH_YEARS
MWI,Malawi,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
MYS,Malaysia,Asia,South-eastern Asia,2024,0.68620912445242,11.627906976744185,1,INCLUDED_OBSERVED_BOTH_YEARS
MYT,Mayotte,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
NAM,Namibia,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
NCL,New Caledonia,Oceania,Melanesia,2024,,,0,MISSING_2016_AND_2024
NER,Niger,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
NGA,Nigeria,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2024
NIC,Nicaragua,Americas,Latin America and the Caribbean,2024,,,0,MISSING_2024
NLD,Netherlands (Kingdom of the),Europe,Western Europe,2024,0.658301068123655,9.30232558139535,1,INCLUDED_OBSERVED_BOTH_YEARS
NOR,Norway,Europe,Northern Europe,2024,0.699343334540747,12.790697674418604,1,INCLUDED_OBSERVED_BOTH_YEARS
NPL,Nepal,Asia,Southern Asia,2024,,,0,MISSING_2024
NZL,New Zealand,Oceania,Australia and New Zealand,2024,,,0,MISSING_2024
OMN,Oman,Asia,Western Asia,2024,,,0,MISSING_2024
PAK,Pakistan,Asia,Southern Asia,2024,4.32882404941659,67.44186046511628,1,INCLUDED_OBSERVED_BOTH_YEARS
PAN,Panama,Americas,Latin America and the Caribbean,2024,12.7779904982243,79.06976744186046,1,INCLUDED_OBSERVED_BOTH_YEARS
PER,Peru,Americas,Latin America and the Caribbean,2024,,,0,MISSING_2024
PHL,Philippines,Asia,South-eastern Asia,2024,4.31184545651845,66.27906976744185,1,INCLUDED_OBSERVED_BOTH_YEARS
PLW,Palau,Oceania,Micronesia,2024,,,0,MISSING_2024
PNG,Papua New Guinea,Oceania,Melanesia,2024,,,0,MISSING_2016_AND_2024
POL,Poland,Europe,Eastern Europe,2024,0.677232514498679,10.465116279069768,1,INCLUDED_OBSERVED_BOTH_YEARS
PRI,Puerto Rico,Americas,Latin America and the Caribbean,2024,15.205705748312,82.55813953488372,1,INCLUDED_OBSERVED_BOTH_YEARS
PRT,Portugal,Europe,Southern Europe,2024,,,0,MISSING_2024
PRY,Paraguay,Americas,Latin America and the Caribbean,2024,6.88395825579259,72.09302325581395,1,INCLUDED_OBSERVED_BOTH_YEARS
PSE,State of Palestine,Asia,Western Asia,2024,0.272953427048556,3.488372093023256,1,INCLUDED_OBSERVED_BOTH_YEARS
PYF,French Polynesia,Oceania,Polynesia,2024,,,0,MISSING_2016_AND_2024
QAT,Qatar,Asia,Western Asia,2024,,,0,MISSING_2024
REU,Réunion,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
ROU,Romania,Europe,Eastern Europe,2024,1.12016310416234,33.72093023255814,1,INCLUDED_OBSERVED_BOTH_YEARS
RUS,Russian Federation,Europe,Eastern Europe,2024,7.82141065835721,74.4186046511628,1,INCLUDED_OBSERVED_BOTH_YEARS
RWA,Rwanda,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2024
SAU,Saudi Arabia,Asia,Western Asia,2024,0.800877278615474,,0,MISSING_2016
SGP,Singapore,Asia,South-eastern Asia,2024,0.171456386553224,1.1627906976744187,1,INCLUDED_OBSERVED_BOTH_YEARS
SHN,Saint Helena,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
SLB,Solomon Islands,Oceania,Melanesia,2024,,,0,MISSING_2016_AND_2024
SLE,Sierra Leone,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
SLV,El Salvador,Americas,Latin America and the Caribbean,2024,3.29746979935764,59.30232558139535,1,INCLUDED_OBSERVED_BOTH_YEARS
SMR,San Marino,Europe,Southern Europe,2024,,,0,MISSING_2016_AND_2024
SPM,Saint Pierre and Miquelon,Americas,Northern America,2024,,,0,MISSING_2016_AND_2024
SRB,Serbia,Europe,Southern Europe,2024,0.890707780154318,23.25581395348837,1,INCLUDED_OBSERVED_BOTH_YEARS
SSD,South Sudan,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
STP,Sao Tome and Principe,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
SUR,Suriname,Americas,Latin America and the Caribbean,2024,4.25578195264733,65.11627906976744,1,INCLUDED_OBSERVED_BOTH_YEARS
SVK,Slovakia,Europe,Eastern Europe,2024,1.07141050921145,32.55813953488372,1,INCLUDED_OBSERVED_BOTH_YEARS
SVN,Slovenia,Europe,Southern Europe,2024,0.707982478849613,16.27906976744186,1,INCLUDED_OBSERVED_BOTH_YEARS
SWE,Sweden,Europe,Northern Europe,2024,0.867351830616747,22.093023255813954,1,INCLUDED_OBSERVED_BOTH_YEARS
SWZ,Eswatini,Africa,Sub-Saharan Africa,2024,13.6785531952899,80.23255813953489,1,INCLUDED_OBSERVED_BOTH_YEARS
SYC,Seychelles,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2024
SYR,Syrian Arab Republic,Asia,Western Asia,2024,,,0,MISSING_2016_AND_2024
TCA,Turks and Caicos Islands,Americas,Latin America and the Caribbean,2024,103.149276343358,,0,MISSING_2016
THA,Thailand,Asia,South-eastern Asia,2024,,,0,MISSING_2016_AND_2024
TJK,Tajikistan,Asia,Central Asia,2024,,,0,MISSING_2016_AND_2024
TKM,Turkmenistan,Asia,Central Asia,2024,,,0,MISSING_2016_AND_2024
TLS,Timor-Leste,Asia,South-eastern Asia,2024,,,0,MISSING_2016_AND_2024
TON,Tonga,Oceania,Polynesia,2024,,,0,MISSING_2016_AND_2024
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,2024,41.5179520374802,96.51162790697674,1,INCLUDED_OBSERVED_BOTH_YEARS
TUN,Tunisia,Africa,Northern Africa,2024,,,0,MISSING_2016_AND_2024
TUR,Türkiye,Asia,Western Asia,2024,2.41215070042969,51.16279069767442,1,INCLUDED_OBSERVED_BOTH_YEARS
TUV,Tuvalu,Oceania,Polynesia,2024,,,0,MISSING_2016_AND_2024
TZA,United Republic of Tanzania,Africa,Sub-Saharan Africa,2024,3.30075090113927,60.46511627906977,1,INCLUDED_OBSERVED_BOTH_YEARS
UGA,Uganda,Africa,Sub-Saharan Africa,2024,8.81933788286006,75.5813953488372,1,INCLUDED_OBSERVED_BOTH_YEARS
UKR,Ukraine,Europe,Eastern Europe,2024,,,0,MISSING_2016_AND_2024
URY,Uruguay,Americas,Latin America and the Caribbean,2024,11.2797912352774,77.90697674418605,1,INCLUDED_OBSERVED_BOTH_YEARS
USA,United States of America,Americas,Northern America,2024,,,0,MISSING_2024
UZB,Uzbekistan,Asia,Central Asia,2024,,,0,MISSING_2024
VAT,Holy See,Europe,Southern Europe,2024,0.0,,0,MISSING_2016
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,2024,50.687763377594,97.67441860465117,1,INCLUDED_OBSERVED_BOTH_YEARS
VEN,Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,2024,,,0,MISSING_2024
VGB,British Virgin Islands,Americas,Latin America and the Caribbean,2024,,,0,MISSING_2016_AND_2024
VIR,United States Virgin Islands,Americas,Latin America and the Caribbean,2024,,,0,MISSING_2016_AND_2024
VNM,Viet Nam,Asia,South-eastern Asia,2024,,,0,MISSING_2016_AND_2024
VUT,Vanuatu,Oceania,Melanesia,2024,,,0,MISSING_2016_AND_2024
WSM,Samoa,Oceania,Polynesia,2024,,,0,MISSING_2016_AND_2024
XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,2024,,,0,MISSING_2024
YEM,Yemen,Asia,Western Asia,2024,,,0,MISSING_2016_AND_2024
ZAF,South Africa,Africa,Sub-Saharan Africa,2024,39.7189774932538,93.02325581395348,1,INCLUDED_OBSERVED_BOTH_YEARS
ZMB,Zambia,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
ZWE,Zimbabwe,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2016_AND_2024
