ano,serie,componente,natureza_contabil,valor_reais_dez_2025,pib_reais_dez_2025,participacao_pib_pct,composicao_pct,total_calculado_reais_dez_2025,total_reportado_reais_dez_2025
1996,total,Total,Public expenditure,61364441754.0,4663845562114.107,1.3157477222762857,100.0,61364441754.0,61364441754.0
1997,total,Total,Public expenditure,65982892575.6,4934975640784.241,1.3370459629080222,100.0,65982892575.6,65982892575.6
1998,total,Total,Public expenditure,72907638318.9,5105791358580.626,1.4279400233692237,100.0,72907638318.9,72907638318.9
1999,total,Total,Public expenditure,66020988933.9,5099605604048.777,1.2946293117546843,100.0,66020988933.9,66020988933.9
2000,total,Total,Public expenditure,73399960487.7,5304346972234.874,1.3837699696476395,100.0,73399960487.7,73399960487.7
2001,total,Total,Public expenditure,86291182038.6,5408859154773.726,1.5953675177960873,100.0,86291182038.6,86291182038.6
2002,total,Total,Public expenditure,77804485605.0,5517031684759.986,1.410259901532264,100.0,77804485605.0,77804485605.0
2003,total,Total,Public expenditure,75548008998.0,5734429605229.452,1.3174459222431607,100.0,75548008998.0,75548008998.0
2004,total,Total,Public expenditure,73529031618.25,6093807429961.039,1.206618890789598,100.0,73529031618.25,73529031618.25
2005,total,Total,Public expenditure,78112186781.39,6360874228064.656,1.2280102385416323,100.0,78112186781.39,78112186781.39
2006,total,Total,Public expenditure,90658672056.28,6853973049993.364,1.3227170780364794,100.0,90658672056.28,90658672056.28
2007,total,Total,Public expenditure,98819521679.42,7427091462321.764,1.3305278678839414,100.0,98819521679.42,98819521679.42
2008,total,Total,Public expenditure,105619920975.9,7980823565565.371,1.3234213249822389,100.0,105619920975.9,105619920975.9
2009,total,Total,Public expenditure,118824315101.8,8207491755843.925,1.4477543034654201,100.0,118824315101.8,118824315101.8
2010,total,Total,Public expenditure,114680964324.74,9058287838117.457,1.2660335636737021,100.0,114680964324.74,114680964324.74
2011,total,Total,Public expenditure,117591191731.54,9566475208257.15,1.229200820277494,100.0,117591191731.54,117591191731.54
2012,total,Total,Public expenditure,109334001107.85,9972838868422.896,1.0963177341011232,100.0,109334001107.85,109334001107.85
2013,total,Total,Public expenditure,112671567617.23,10440534674154.057,1.0791743060453864,100.0,112671567617.23,112671567617.23
2014,total,Total,Public expenditure,123796144285.4,10620309594750.904,1.1656547596935058,100.0,123796144285.4,123796144285.4
2015,total,Total,Public expenditure,126744691582.45,9973912529656.303,1.270762012455884,100.0,126744691582.45,126744691582.45
2016,total,Total,Public expenditure,127102306272.20277,9747820129596.121,1.3039049200989818,100.0,127102306272.20277,127102306272.20277
2016,decomposição,Federal government,Public expenditure,13793299934.157618,9747820129596.121,0.14150137929072673,10.852124039840657,127102306272.20279,127102306272.20277
2016,decomposição,States and Federal District,Public expenditure,105295549543.84155,9747820129596.121,1.0801958606534552,82.84314630636221,127102306272.20279,127102306272.20277
2016,decomposição,Municipalities,Public expenditure,8013456794.203626,9747820129596.121,0.08220768015480036,6.304729653797136,127102306272.20279,127102306272.20277
2017,total,Total,Public expenditure,127712787675.62314,9960117492699.11,1.2822417784653466,100.0,127712787675.62314,127712787675.62314
2017,decomposição,Federal government,Public expenditure,14694732535.365284,9960117492699.11,0.14753573485590613,11.506077662863596,127712787675.62312,127712787675.62314
2017,decomposição,States and Federal District,Public expenditure,105200762664.68977,9960117492699.11,1.0562200972207731,82.37292802024531,127712787675.62312,127712787675.62314
2017,decomposição,Municipalities,Public expenditure,7817292475.568072,9960117492699.11,0.07848594638866706,6.120994316891087,127712787675.62312,127712787675.62314
2018,total,Total,Public expenditure,133240548620.45389,10181388857657.186,1.3086677120700165,100.0,133240548620.45389,133240548620.45389
2018,decomposição,Federal government,Public expenditure,16589319240.110098,10181388857657.186,0.16293768435760764,12.45065365751838,133240548620.45389,133240548620.45389
2018,decomposição,States and Federal District,Public expenditure,108119315473.3114,10181388857657.186,1.061930911242992,81.1459548859242,133240548620.45389,133240548620.45389
2018,decomposição,Municipalities,Public expenditure,8531913907.032392,10181388857657.186,0.08379911646941701,6.403391456557429,133240548620.45389,133240548620.45389
2019,total,Total,Public expenditure,132343582443.11014,10400422816747.389,1.272482713202799,100.0,132343582443.11014,132343582443.11014
2019,decomposição,Federal government,Public expenditure,15787242075.281506,10400422816747.389,0.15179423330616845,11.928981960321263,132343582443.11014,132343582443.11014
2019,decomposição,States and Federal District,Public expenditure,107664430217.35036,10400422816747.389,1.0351928196994318,81.35221083623871,132343582443.11014,132343582443.11014
2019,decomposição,Municipalities,Public expenditure,8891910150.478283,10400422816747.389,0.08549566019719883,6.718807203440033,132343582443.11014,132343582443.11014
2020,total,Total,Public expenditure,129985381239.62047,10268069828543.287,1.2659183606083955,100.0,129985381239.62047,129985381239.62047
2020,decomposição,Federal government,Public expenditure,16739554091.809591,10268069828543.287,0.16302532385664933,12.878028230690958,129985381239.62047,129985381239.62047
2020,decomposição,States and Federal District,Public expenditure,103786816401.52036,10268069828543.287,1.0107724054720848,79.84499134575404,129985381239.62047,129985381239.62047
2020,decomposição,Municipalities,Public expenditure,9459010746.290524,10268069828543.287,0.09212063127966141,7.276980423555007,129985381239.62047,129985381239.62047
2021,total,Total,Public expenditure,128972363785.30296,10981371629335.133,1.1744649770414117,100.0,128972363785.30296,128972363785.30296
2021,decomposição,Federal government,Public expenditure,16157169051.310362,10981371629335.133,0.14713252220832634,12.527621094242168,128972363785.30296,128972363785.30296
2021,decomposição,States and Federal District,Public expenditure,103852350022.07208,10981371629335.133,0.9457138281764883,80.52294846278268,128972363785.30296,128972363785.30296
2021,decomposição,Municipalities,Public expenditure,8962844711.92052,10981371629335.133,0.08161862665659715,6.949430442975165,128972363785.30296,128972363785.30296
2022,total,Total,Public expenditure,144477828446.51935,11597842301725.111,1.2457302374686463,100.0,144477828446.51935,144477828446.51935
2022,decomposição,Federal government,Public expenditure,16666732495.600525,11597842301725.111,0.14370545884316296,11.535840948613073,144477828446.51935,144477828446.51935
2022,decomposição,States and Federal District,Public expenditure,117130315737.3141,11597842301725.111,1.0099319570838763,81.07148134543817,144477828446.51935,144477828446.51935
2022,decomposição,Municipalities,Public expenditure,10680780213.604706,11597842301725.111,0.09209282154160695,7.392677705948742,144477828446.51935,144477828446.51935
2023,total,Total,Public expenditure,151363117697.60004,12028245971591.766,1.2583972597092583,100.0,151363117697.60004,151363117697.60004
2023,decomposição,Federal government,Public expenditure,18114010576.27047,12028245971591.766,0.15059561152184636,11.967255201798528,151363117697.60004,151363117697.60004
2023,decomposição,States and Federal District,Public expenditure,121315901243.32526,12028245971591.766,1.0085917891091385,80.14891810414183,151363117697.60004,151363117697.60004
2023,decomposição,Municipalities,Public expenditure,11933205878.004297,12028245971591.766,0.09920985907827347,7.883826694059636,151363117697.60004,151363117697.60004
2024,total,Total,Public expenditure,153169298524.43,12345427328384.613,1.2406966113863314,100.0,153169298524.43,153169298524.43
2024,decomposição,Federal government,Public expenditure,21075785233.711384,12345427328384.613,0.17071734070520125,13.75979745075993,153169298524.43,153169298524.43
2024,decomposição,States and Federal District,Public expenditure,118499129739.43141,12345427328384.613,0.9598625190314647,77.36480540225963,153169298524.43,153169298524.43
2024,decomposição,Municipalities,Public expenditure,13594383551.287197,12345427328384.613,0.11011675164966532,8.87539714698043,153169298524.43,153169298524.43
2025,total,Total,Public expenditure,163117868907.88,12700000000000.0,1.2843926685659843,100.0,163117868907.88,163117868907.88
2025,decomposição,Federal government,Public expenditure,18094518505.74,12700000000000.0,0.14247652366724411,11.092910069808962,163117868907.88,163117868907.88
2025,decomposição,States and Federal District,Public expenditure,131252276972.6,12700000000000.0,1.0334824958472442,80.46468351467003,163117868907.88,163117868907.88
2025,decomposição,Municipalities,Public expenditure,13771073429.54,12700000000000.0,0.10843364905149606,8.442406415521003,163117868907.88,163117868907.88
