year,crime,measurement_concept,geographic_sample,reporting_ufs,population_coverage_pct,population,count,rate_per_100k,plotted_value,plot_unit
2024,Attempted homicide,victims,Brasil — 27 UFs,27,100.0,212583750,36973,17.392204248913664,17.392204248913664,"victims per 100,000 inhabitants"
2025,Attempted homicide,victims,Brasil — 27 UFs,27,100.0,213421037,33917,15.892060350170635,15.892060350170635,"victims per 100,000 inhabitants"
2016,Rape,victims,Brasil — 27 UFs,27,100.0,203871925,33595,16.478482753326627,16.478482753326627,"victims per 100,000 inhabitants"
2017,Rape,victims,Brasil — 27 UFs,27,100.0,205211557,29423,14.337886437848137,14.337886437848137,"victims per 100,000 inhabitants"
2018,Rape,victims,Brasil — 27 UFs,27,100.0,206529038,28361,13.732209414542472,13.732209414542472,"victims per 100,000 inhabitants"
2019,Rape,victims,Brasil — 27 UFs,27,100.0,207900099,29026,13.961513313180289,13.961513313180289,"victims per 100,000 inhabitants"
2020,Rape,victims,Brasil — 27 UFs,27,100.0,209164889,21820,10.431961169161617,10.431961169161617,"victims per 100,000 inhabitants"
2021,Rape,victims,Brasil — 27 UFs,27,100.0,210103642,23729,11.293949868798562,11.293949868798562,"victims per 100,000 inhabitants"
2022,Rape,victims,Brasil — 27 UFs,27,100.0,210862983,23227,11.015209815181263,11.015209815181263,"victims per 100,000 inhabitants"
2023,Rape,victims,Brasil — 27 UFs,27,100.0,211695158,24711,11.67291695920603,11.67291695920603,"victims per 100,000 inhabitants"
2024,Rape,victims,Brasil — 27 UFs,27,100.0,212583750,25222,11.864500461582788,11.864500461582788,"victims per 100,000 inhabitants"
2025,Rape,victims,Brasil — 27 UFs,27,100.0,213421037,19877,9.31351486217359,9.31351486217359,"victims per 100,000 inhabitants"
2016,Rape of a vulnerable person,victims,Brasil — 27 UFs,27,100.0,203871925,26003,12.754576187967029,12.754576187967029,"victims per 100,000 inhabitants"
2017,Rape of a vulnerable person,victims,Brasil — 27 UFs,27,100.0,205211557,36002,17.543846226945202,17.543846226945202,"victims per 100,000 inhabitants"
2018,Rape of a vulnerable person,victims,Brasil — 27 UFs,27,100.0,206529038,44455,21.524818219508678,21.524818219508678,"victims per 100,000 inhabitants"
2019,Rape of a vulnerable person,victims,Brasil — 27 UFs,27,100.0,207900099,48524,23.34005622575485,23.34005622575485,"victims per 100,000 inhabitants"
2020,Rape of a vulnerable person,victims,Brasil — 27 UFs,27,100.0,209164889,45306,21.66042313153237,21.66042313153237,"victims per 100,000 inhabitants"
2021,Rape of a vulnerable person,victims,Brasil — 27 UFs,27,100.0,210103642,48853,23.251857766463658,23.251857766463658,"victims per 100,000 inhabitants"
2022,Rape of a vulnerable person,victims,Brasil — 27 UFs,27,100.0,210862983,57288,27.168353204981454,27.168353204981454,"victims per 100,000 inhabitants"
2023,Rape of a vulnerable person,victims,Brasil — 27 UFs,27,100.0,211695158,63709,30.09468927012492,30.09468927012492,"victims per 100,000 inhabitants"
2024,Rape of a vulnerable person,victims,Brasil — 27 UFs,27,100.0,212583750,63919,30.067679208782423,30.067679208782423,"victims per 100,000 inhabitants"
2025,Rape of a vulnerable person,victims,Brasil — 27 UFs,27,100.0,213421037,63612,29.805871480232756,29.805871480232756,"victims per 100,000 inhabitants"
2016,Femicide,victims,Brasil — 27 UFs,27,100.0,203871925,809,0.3968177570305475,0.3968177570305475,"victims per 100,000 inhabitants"
2017,Femicide,victims,Brasil — 27 UFs,27,100.0,205211557,1048,0.5106924850241256,0.5106924850241256,"victims per 100,000 inhabitants"
2018,Femicide,victims,Brasil — 27 UFs,27,100.0,206529038,1176,0.5694114548676685,0.5694114548676685,"victims per 100,000 inhabitants"
2019,Femicide,victims,Brasil — 27 UFs,27,100.0,207900099,1331,0.6402113353490996,0.6402113353490996,"victims per 100,000 inhabitants"
2020,Femicide,victims,Brasil — 27 UFs,27,100.0,209164889,1346,0.6435114451737644,0.6435114451737644,"victims per 100,000 inhabitants"
2021,Femicide,victims,Brasil — 27 UFs,27,100.0,210103642,1366,0.6501553171553304,0.6501553171553304,"victims per 100,000 inhabitants"
2022,Femicide,victims,Brasil — 27 UFs,27,100.0,210862983,1456,0.6904957803807603,0.6904957803807603,"victims per 100,000 inhabitants"
2023,Femicide,victims,Brasil — 27 UFs,27,100.0,211695158,1478,0.6981737390516981,0.6981737390516981,"victims per 100,000 inhabitants"
2024,Femicide,victims,Brasil — 27 UFs,27,100.0,212583750,1501,0.7060746646909747,0.7060746646909747,"victims per 100,000 inhabitants"
2025,Femicide,victims,Brasil — 27 UFs,27,100.0,213421037,1562,0.731886613408218,0.731886613408218,"victims per 100,000 inhabitants"
