ano,componente,natureza_contabil,valor_reais_dez_2025,pib_reais_dez_2025,participacao_pib_pct,composicao_pct,total_calculado_reais_dez_2025,total_reportado_reais_dez_2025
2018,Formal sector,Labor cost,54135855641.52,10181388857657.186,0.5317138594584341,91.64064823527623,59074064494.32,59074064494.32
2018,Informal provision,Labor cost,4938208852.8,10181388857657.186,0.04850231065564388,8.359351764723776,59074064494.32,59074064494.32
2019,Formal sector,Labor cost,51798592691.28,10400422816747.389,0.49804314309097875,88.77391928273731,58348885697.28,58348885697.28
2019,Informal provision,Labor cost,6550293006.0,10400422816747.389,0.06298102607378926,11.226080717262693,58348885697.28,58348885697.28
2020,Formal sector,Labor cost,48824374236.48,10268069828543.287,0.4754970997641397,92.50647240900196,52779414202.08,52779414202.08
2020,Informal provision,Labor cost,3955039965.6,10268069828543.287,0.038517852251118694,7.493527590998035,52779414202.08,52779414202.08
2021,Formal sector,Labor cost,43025707428.48,10981371629335.133,0.3918063141906891,89.92552399783408,47845934630.880005,47845934630.880005
2021,Informal provision,Labor cost,4820227202.4,10981371629335.133,0.04389458225349068,10.07447600216592,47845934630.880005,47845934630.880005
2022,Formal sector,Labor cost,49368968598.96,11597842301725.111,0.4256737358087431,90.34765193522051,54643333325.76,54643333325.76
2022,Informal provision,Labor cost,5274364726.8,11597842301725.111,0.04547712056763756,9.652348064779487,54643333325.76,54643333325.76
2023,Formal sector,Labor cost,54930975755.04,12028245971591.766,0.45668317629000627,90.51912814875851,60684384481.44,60684384481.44
2023,Informal provision,Labor cost,5753408726.4,12028245971591.766,0.047832483140005315,9.480871851241483,60684384481.44,60684384481.44
2024,Formal sector,Labor cost,56477343455.28,12345427328384.613,0.45747580827297296,90.29099556647421,62550360754.08,62550360754.08
2024,Informal provision,Labor cost,6073017298.8,12345427328384.613,0.04919244297714114,9.709004433525784,62550360754.08,62550360754.08
2025,Formal sector,Labor cost,57458917728.72,12700000000000.0,0.4524324230607874,90.05081700566288,63807214236.72,63807214236.72
2025,Informal provision,Labor cost,6348296508.0,12700000000000.0,0.04998658667716535,9.94918299433712,63807214236.72,63807214236.72
