microrregion_code,microrregion_name,uf,macroregion,start_year,end_year,rate_2016_per_100k,rate_2024_per_100k,delta_rate_2016_2024_per_100k,population_2016,population_2024,bubble_area_points2,population_weighted_fitted_delta,rate_average_2015_2017_per_100k,delta_average_2015_2017_to_2022_2024_per_100k
11001,Porto Velho,RO,North,2016,2024,46.23408006509759,36.67531909108442,-9.558760974013168,648872.0,632578.0,86.51626666666667,-18.026978225110234,41.56656096052153,1.2306443986211306
11002,Guajará-Mirim,RO,North,2016,2024,23.97161760475597,44.244228139329095,20.272610534573126,83432.0,74586.0,11.124266666666667,-6.960665219276411,21.57738689853034,7.816675500864985
11003,Ariquemes,RO,North,2016,2024,49.60342065188816,25.436797507193845,-24.166623144694313,201599.0,188703.0,26.87986666666667,-19.70182338759421,46.13827591681219,-16.654519797542054
11004,Ji-Paraná,RO,North,2016,2024,31.207641143649717,20.633579861626053,-10.574061282023663,317230.0,310174.0,42.297333333333334,-10.557576456819303,25.323638197713517,3.1443668027534493
11005,Alvorada D'Oeste,RO,North,2016,2024,25.249840527322984,22.87910679967054,-2.3707337276524427,75248.0,65562.0,10.033066666666667,-7.596049331773246,20.819951715431127,13.256778596082615
11006,Cacoal,RO,North,2016,2024,21.63080226242169,17.7113057168159,-3.9194965456057886,249644.0,254075.0,33.285866666666664,-5.797083458576086,21.765081331969565,-2.0900631016205047
11007,Vilhena,RO,North,2016,2024,52.79864631904377,36.84555280026201,-15.953093518781756,157201.0,170984.0,20.960133333333335,-21.290118816278586,43.26369433775797,-9.48526845359737
11008,Colorado do Oeste,RO,North,2016,2024,25.900505059848665,30.26329062846767,4.362785568619003,54053.0,49565.0,7.207066666666667,-7.919484234428362,20.96552404560618,5.383840796020269
12001,Cruzeiro do Sul,AC,North,2016,2024,19.23816852635629,11.622643356130027,-7.615525170226263,145544.0,163474.0,19.405866666666668,-4.607743605503471,26.56948952223019,-12.707816418286543
12002,Tarauacá,AC,North,2016,2024,30.19475617734387,28.739302592923746,-1.4554535844201233,79484.0,93948.0,10.597866666666667,-10.054087586438882,32.29337482542705,-5.928874624946996
12003,Sena Madureira,AC,North,2016,2024,15.724094554221919,9.399232396020992,-6.3248621582009275,57237.0,63835.0,7.6316,-2.8609537986450624,26.792162709969013,-7.4212336317831
12004,Rio Branco,AC,North,2016,2024,59.57515865355871,22.30801167452611,-37.2671469790326,468316.0,484131.0,62.44213333333333,-24.65861440454629,56.94760820045558,-30.87394727424546
12005,Brasiléia,AC,North,2016,2024,34.79260581490334,18.606381989022236,-16.186223825881104,66106.0,75243.0,8.814133333333332,-12.339604893144402,28.744761645410673,7.243749364112613
13001,Rio Negro,AM,North,2016,2024,28.407829908118426,46.36858291932813,17.9607530112097,112645.0,105675.0,15.019333333333334,-9.16583519976682,30.778883318437142,-5.887460030086167
13002,Japurá,AM,North,2016,2024,4.322081514457363,19.80982567353407,15.487744159076708,23137.0,25240.0,3.0849333333333333,2.806803998562118,5.761945232710563,23.791859483808
13003,Alto Solimões,AM,North,2016,2024,15.718327569946558,23.446325676568595,7.727998106622037,248118.0,281494.0,33.0824,-2.8580871232624734,16.256973032234487,13.672110984469377
13004,Juruá,AM,North,2016,2024,23.110228995180837,36.730196302493574,13.619967307312738,147121.0,147018.0,19.616133333333334,-6.532482757870831,21.75321879659381,10.656665985099966
13005,Tefé,AM,North,2016,2024,16.44105880418699,26.972110837394133,10.531052033207143,91235.0,111226.0,12.164666666666667,-3.217345227411771,12.787630342489276,11.686637598078526
