section,claim,value,display,source,calculation
3.3,"Microrregion homicide-rate 90th percentile, 2024",38.46515471965035,"38,5",fig_03_microrregion_homicides.csv,Unweighted cross-sectional quantile 0.9
3.3,"Mean homicide rate in bottom microrregion quartile, 2024",6.914106820268212,"6,9",fig_03_microrregion_homicides.csv,Unweighted mean among rates at or below Q1
3.3,"Mean homicide rate in top microrregion quartile, 2024",39.13262885465198,"39,1",fig_03_microrregion_homicides.csv,Unweighted mean among rates at or above Q3
3.3,"UNODC homicide rate, 2023: United States",5.76340794073065,"5,8",unodc_homicide_country_year.csv,Official retained UNODC annual rate
3.3,"UNODC homicide rate, 2023: Haiti",41.1518089717388,"41,2",unodc_homicide_country_year.csv,Official retained UNODC annual rate
3.3,Microrregions in fixed geography,558,558,fig_03_microrregion_homicides.csv,Distinct microrregion codes
3.3,Microrregions at or above 40 per 100k,47,47,fig_03_microrregion_homicides.csv,Count with rate >= 40
3.3,Highlighted microrregion rate: São Paulo,3.084866726607057,"3,1",fig_03_microrregion_homicides.csv,"Homicide count / population * 100,000"
3.3,Highlighted microrregion rate: Brasília,10.325805999561489,"10,3",fig_03_microrregion_homicides.csv,"Homicide count / population * 100,000"
3.3,Highlighted microrregion rate: Rio de Janeiro,19.25784675757924,"19,3",fig_03_microrregion_homicides.csv,"Homicide count / population * 100,000"
3.3,Highlighted microrregion rate: São Luís,18.302675262823147,"18,3",fig_03_microrregion_homicides.csv,"Homicide count / population * 100,000"
3.3,Highlighted microrregion rate: Fortaleza,33.01927181973392,"33,0",fig_03_microrregion_homicides.csv,"Homicide count / population * 100,000"
3.3,Highlighted microrregion rate: Recife,41.60751159711118,"41,6",fig_03_microrregion_homicides.csv,"Homicide count / population * 100,000"
3.3,Highlighted microrregion rate: Salvador,52.82297393914337,"52,8",fig_03_microrregion_homicides.csv,"Homicide count / population * 100,000"
3.4,"Median microrregion homicide-rate change, 2016--2024",-4.14432621114177,"-4,1",fig_04_microrregion_homicide_change.csv,Unweighted median of end minus start rate
3.4,Microrregions with declining endpoint rate,70.25089605734767,"70,3",fig_04_microrregion_homicide_change.csv,100 * count(delta < 0) / 558
3.4,Endpoint versus smoothed-change correlation,0.8887046628096675,"0,889",fig_04_microrregion_homicide_change.csv,Pearson correlation across 558 microrregions
3.4,Endpoint and smoothed change with same sign,81.54121863799283,"81,5",fig_04_microrregion_homicide_change.csv,Share with identical sign
3.4,"Population-weighted convergence slope, 2016--2024",-0.49708396030076946,"-0,50",fig_05_microrregion_homicide_convergence.csv,Population-weighted OLS slope of endpoint rate change on 2016 homicide rate
4,seguranca_publica: 2025 composition: Total,100.0,"100,0",fig_06_public_security.csv,100 * component / component-group total
4,seguranca_publica: 2025 composition: União,11.092910069808962,"11,1",fig_06_public_security.csv,100 * component / component-group total
4,seguranca_publica: 2025 composition: Estados e Distrito Federal,80.46468351467003,"80,5",fig_06_public_security.csv,100 * component / component-group total
4,seguranca_publica: 2025 composition: Municípios,8.442406415521003,"8,4",fig_06_public_security.csv,100 * component / component-group total
4,"seguranca_publica: real level, 1996",61.364441754,"61,4",fig_06_public_security.csv,Reported total / 1e9
4,"seguranca_publica: real level, 2025",163.11786890788,"163,1",fig_06_public_security.csv,Reported total / 1e9
4,"seguranca_publica: GDP share, 1996",1.3157477222762857,"1,3",fig_06_public_security.csv,100 * reported total / GDP
4,"seguranca_publica: GDP share, 2025",1.2843926685659843,"1,3",fig_06_public_security.csv,100 * reported total / GDP
4,"seguranca_publica: real growth, 1996--2025",165.81822346203822,"165,8",fig_06_public_security.csv,100 * (end / start - 1)
4,seguranca_publica: real peak year,2025,2025,fig_06_public_security.csv,Year with maximum reported real total
4,seguranca_publica: real peak level,163.11786890788,"163,1",fig_06_public_security.csv,Maximum reported total / 1e9
4,seguranca_privada: 2025 composition: Setor formal,90.05081700566288,"90,1",fig_07_private_security.csv,100 * component / component-group total
4,seguranca_privada: 2025 composition: Provisão informal,9.94918299433712,"9,9",fig_07_private_security.csv,100 * component / component-group total
4,"seguranca_privada: real level, 1996",40.36652785422999,"40,4",fig_07_private_security.csv,Reported total / 1e9
4,"seguranca_privada: real level, 2025",63.80721423672,"63,8",fig_07_private_security.csv,Reported total / 1e9
4,"seguranca_privada: GDP share, 1996",0.865520251831237,"0,9",fig_07_private_security.csv,100 * reported total / GDP
4,"seguranca_privada: GDP share, 2025",0.5024190097379527,"0,5",fig_07_private_security.csv,100 * reported total / GDP
4,"seguranca_privada: real growth, 1996--2025",58.06961269281836,"58,1",fig_07_private_security.csv,100 * (end / start - 1)
4,seguranca_privada: real peak year,2014,2014,fig_07_private_security.csv,Year with maximum reported real total
4,seguranca_privada: real peak level,66.70547119336,"66,7",fig_07_private_security.csv,Maximum reported total / 1e9
4,encarceramento: 2025 composition: Custódia e reintegração social,97.97992188224605,"98,0",fig_08_incarceration.csv,100 * component / component-group total
4,encarceramento: 2025 composition: Auxílio-reclusão (transferência),2.0200781177539606,"2,0",fig_08_incarceration.csv,100 * component / component-group total
